01_prenom;02_genre;03_langage;04_fréquence
aaliyah;f;english (modern);0
aapeli;m;finnish;0
aapo;m;finnish;0
aaren;m,f;english;0
aarne;m;finnish;0
aarón;m;spanish;0
aaron;m;english, biblical;1.37
aatami;m;finnish;0
aatto;m;finnish;0
aatu;m;finnish;0
abaddon;m;biblical;0
abbán;m;irish;0
'abbas;m;arabic;0
abbey;f;english;0.06
abbie;f;english;0
abby;f;english;0
abd-al-aziz;m;arabic;0
abd-allah;m;arabic;0
abd-al-malik;m;arabic;0
abd-al-qadir;m;arabic;0
abd-al-rahman;m;arabic;0
abdul;m;arabic;0.29
abdul-aziz;m;arabic;0
abdullah;m;arabic;0.13
abdul-rahman;m;arabic;0
abe;m;english, jewish;0.03
abednego;m;biblical;0
abegail;f;spanish;0
ábel;m;hungarian;0
abel;m;english, french, spanish, biblical;5.38
abelone;f;danish;0
abena;f;african;0
abeni;f;african;0
abhay;m;indian;0
abiah;m,f;biblical;0
abidan;m;biblical;0
abidemi;m;african;0
abiel;m;biblical;0
abigail;f;english, german, biblical;0.06
abigayle;f;english (modern);0
